Species,District,Stock,Code
Pink,Kamishak,Amakdedori Creek,
Chum,Kamishak,Big Kamishak River,
Pink,Kamishak,Brown's Peak Creek,
Chum,Kamishak,Bruin River,
Pink,Kamishak,Bruin River,
Chum,Kamishak,Cottonwood Creek,
Chum,Kamishak,Douglas River,
Chum,Kamishak,Iniskin River,
Chum,Kamishak,Little Kamishak River,
Pink,Kamishak,Little Kamishak River,
Chum,Kamishak,McNeil River,
Chum,Kamishak,Sugarloaf Creek,
Chum,Kamishak,Sunday Creek,
Pink,Kamishak,Sunday Creek,
Chum,Kamishak,Ursus Lagoon Creeks,
Pink,Outer,Desire Lake,
Chum,Outer,Dogfish Lagoon Creeks,DGFC
Pink,Outer,Dogfish Lagoon Creeks,DGFC
Chum,Outer,Island Creek,PDIS
Pink,Outer,Island Creek,PDIS
Pink,Outer,James Lagoon Creeks,
Chum,Outer,Middle Creek,
Pink,Outer,Middle Creek,
Chum,Outer,Petrof River,
Chum,Outer,Port Chatham Creeks,PCHC
Pink,Outer,Port Chatham Creeks,PCHC
Chum,Outer,Port Dick Creek,PDHE
Pink,Outer,Port Dick Creek,PDHE
Chum,Outer,Rocky River,
Pink,Outer,Rocky River,
Chum,Outer,Slide Creek,
Pink,Outer,Slide Creek,
Pink,Outer,South Nuka Island Creek,
Pink,Outer,Taylor Bay Creeks,
Pink,Outer,Windy Bay Left Creek,
Pink,Outer,Windy Bay Right Creek,
Pink,Southern,Barabara Creek,BARA
Pink,Southern,China Poot Creek,CHPO
Chum,Southern,Humpy Creek,HUCK
Pink,Southern,Humpy Creek,HUCK
Chum,Southern,Port Graham River,POGR
Chum,Southern,Seldovia River,SELD
Pink,Southern,Seldovia River,SELD
Pink,Southern,Tutka Creek,TUTK
Chum,Southern,Tutka Creek,TUTK
