"JulianDay","Species","Stock","District","MMDD","OriginDate","PercentEscape","fit_link","se_link","fit_resp","se_upr","se_lwr","LowerSEG","UpperSEG","LowerSEG_se_upr","LowerSEG_se_lwr","UpperSEG_se_upr","UpperSEG_se_lwr","YEAR.RANGE","TYPE.STOCK"
121,"Chum Salmon","Kamishak District","Kamishak","05-01",0-05-01,0,-9.46837890377761,0.366970972119719,7.72505782065655e-05,0,0,0,0,0,0,0,0,"All","Aggregate"
122,"Chum Salmon","Kamishak District","Kamishak","05-02",0-05-02,0,-9.37508402567381,0.363339125591568,8.48039163223541e-05,0,0,0,0,0,0,0,0,"All","Aggregate"
123,"Chum Salmon","Kamishak District","Kamishak","05-03",0-05-03,0,-9.28178914757002,0.359708090337556,9.30957292330583e-05,0,0,0,0,0,0,0,0,"All","Aggregate"
124,"Chum Salmon","Kamishak District","Kamishak","05-04",0-05-04,0,-9.18849426946622,0.356077891176118,0.000102198202042265,0,0,0,0,0,0,0,0,"All","Aggregate"
125,"Chum Salmon","Kamishak District","Kamishak","05-05",0-05-05,0,-9.09519939136243,0.352448553942365,0.000112190572975781,0,0,0,0,0,0,0,0,"All","Aggregate"
126,"Chum Salmon","Kamishak District","Kamishak","05-06",0-05-06,0,-9.00190451325863,0.348820105540364,0.000123159821940648,0,0,0,0,0,0,0,0,"All","Aggregate"
127,"Chum Salmon","Kamishak District","Kamishak","05-07",0-05-07,0,-8.90860963515484,0.345192573998645,0.000135201426182819,0,0,0,0,0,0,0,0,"All","Aggregate"
128,"Chum Salmon","Kamishak District","Kamishak","05-08",0-05-08,0,-8.81531475705104,0.34156598852919,0.000148420189557147,0,0,0,0,0,0,0,0,"All","Aggregate"
129,"Chum Salmon","Kamishak District","Kamishak","05-09",0-05-09,0,-8.72201987894725,0.337940379590141,0.000162931152550513,0,0,0,0,0,0,0,0,"All","Aggregate"
130,"Chum Salmon","Kamishak District","Kamishak","05-10",0-05-10,0,-8.62872500084345,0.334315778952516,0.000178860590885455,0,0,0,0,0,0,0,0,"All","Aggregate"
131,"Chum Salmon","Kamishak District","Kamishak","05-11",0-05-11,0,-8.53543012273965,0.330692219771225,0.000196347111282881,0,0,0,0,0,0,0,0,"All","Aggregate"
